iter	Logloss	Accuracy
659	0.2257260209	0.8999658224
660	0.225700586	0.8999810124
661	0.2256662089	0.8999278472
662	0.2256457341	0.8999126571
663	0.2255875781	0.9000189876
664	0.225554394	0.8999658224
665	0.225511279	0.9000113925
666	0.2254857555	0.8999886075
667	0.2254683712	0.8999810124
668	0.2254521445	0.9000645578
669	0.2254328316	0.9000797478
670	0.2254123624	0.9000265826
671	0.2253945918	0.9000721528
672	0.2253714294	0.9000341776
673	0.2253518307	0.900110128
674	0.225334128	0.9001405081
675	0.2253082732	0.9001708882
676	0.2252863944	0.9001708882
677	0.2252642847	0.9001405081
678	0.2252426146	0.9001784833
679	0.2252180428	0.9001860783
680	0.2251873592	0.9002392435
681	0.2251601576	0.9002620286
682	0.2251361573	0.9002924088
683	0.2251107865	0.900345574
684	0.2250800918	0.9003607641
685	0.2250611343	0.900353169
686	0.2250206384	0.900337979
687	0.224998531	0.9003835492
688	0.2249727453	0.900345574
689	0.2249515053	0.9003759541
690	0.2249280501	0.9003835492
691	0.2249022522	0.9003835492
692	0.224860252	0.9003303839
693	0.2248329998	0.900345574
694	0.2248027588	0.9003303839
695	0.224768803	0.9003987392
696	0.224747671	0.9003911442
697	0.2247306376	0.9003911442
698	0.2247127624	0.9003987392
699	0.2246951711	0.9004139293
700	0.2246713332	0.9004063343
701	0.2246466802	0.9004367144
702	0.2246214596	0.9004443094
703	0.2245945337	0.9004974747
704	0.2245565096	0.9005126647
705	0.2245290158	0.9005506399
706	0.2245166779	0.9005962101
707	0.2244948696	0.9005658299
708	0.2244707596	0.9005962101
709	0.2244365808	0.90058102
710	0.2244164239	0.9006038051
711	0.2243954438	0.9006417803
712	0.2243794572	0.9006797554
713	0.2243424253	0.9007405157
714	0.2243156873	0.9006949455
715	0.2242953978	0.9007253256
716	0.2242765189	0.9007708958
717	0.2242533119	0.9007784909
718	0.2242181594	0.9007708958
719	0.2242033866	0.9007936809
720	0.2241817369	0.9008240611
721	0.2241540833	0.9008772263
722	0.2241409992	0.9008240611
723	0.2241206895	0.9008696313
724	0.2240966496	0.9008924164
725	0.2240641854	0.9009607717
726	0.2240324932	0.9010063419
727	0.224017861	0.9010215319
728	0.2239955141	0.9010139369
729	0.2239729517	0.9010746971
730	0.223940593	0.9010898872
731	0.2239217814	0.9011050773
732	0.2239014609	0.9011202673
733	0.2238770513	0.9010822922
734	0.2238468009	0.9011354574
735	0.2238171148	0.9011126723
736	0.223785076	0.9011278624
737	0.2237582045	0.9011506475
738	0.2237342034	0.9011658375
739	0.2237134582	0.9011810276
740	0.2236975752	0.9012114077
741	0.2236837612	0.9012265978
742	0.2236646621	0.9012493829
743	0.2236440341	0.9012949531
744	0.2236143678	0.9012417879
745	0.2236014855	0.9011886226
746	0.2235780831	0.9011886226
747	0.2235547819	0.9012341928
748	0.2235261054	0.9011734326
749	0.2235041738	0.9012038127
750	0.2234858278	0.9012114077
751	0.2234662582	0.901264573
752	0.2234377387	0.901279763
753	0.2234156516	0.9012417879
754	0.2234000418	0.9013481183
755	0.2233579822	0.9013709034
756	0.223342364	0.9014164736
757	0.223297277	0.9014392587
758	0.2232700834	0.9014240687
759	0.2232561466	0.9014240687
760	0.2232282975	0.9014316637
761	0.2232054861	0.9014240687
762	0.2231798185	0.9014012836
763	0.223149949	0.9014696389
764	0.2231316811	0.9014468538
765	0.2231128117	0.9014240687
766	0.2230798044	0.9014620438
767	0.2230561686	0.9014620438
768	0.2230357876	0.9014772339
769	0.2230153822	0.9015228041
770	0.2229905214	0.9015379942
771	0.2229688321	0.9015607793
772	0.2229493625	0.9015455892
773	0.2229258663	0.9015835643
774	0.222908252	0.9015835643
775	0.2228777213	0.9015683743
776	0.2228565124	0.9015759693
777	0.2228399583	0.9016139445
778	0.222821414	0.9016367296
779	0.2228045696	0.9016367296
780	0.2227778148	0.9015987544
781	0.2227660232	0.9016367296
782	0.2227421691	0.9016974898
783	0.222712145	0.901735465
784	0.2226895161	0.90172787
785	0.2226616586	0.901735465
786	0.2226378958	0.9017506551
787	0.2226225267	0.90174306
788	0.222592853	0.9017506551
789	0.2225629423	0.9017202749
790	0.2225436426	0.9016974898
791	0.2225194119	0.90174306
792	0.2224899769	0.9016974898
793	0.222464023	0.9017582501
794	0.2224345039	0.9018114153
795	0.2224092291	0.9018645806
796	0.2223827997	0.9018417955
797	0.2223581237	0.9018645806
798	0.2223381013	0.9018569855
799	0.222325503	0.9019025557
800	0.2222937578	0.9019101508
801	0.2222646361	0.9019025557
802	0.222251047	0.9019101508
803	0.2222304524	0.9019025557
804	0.2221945449	0.9018721756
805	0.2221676576	0.9018949607
806	0.2221456357	0.9019177458
807	0.2221157143	0.9019405309
808	0.2221016817	0.9020088862
809	0.2220773799	0.9020772415
810	0.2220521294	0.9020848365
811	0.2220280633	0.9020696465
812	0.2220096443	0.9020848365
813	0.2219848387	0.9021076216
814	0.221926032	0.9021000266
815	0.2219030119	0.9021000266
816	0.2218878688	0.9021076216
817	0.2218681852	0.902191167
818	0.2218355434	0.9021835719
819	0.2218199697	0.902198762
820	0.2217958234	0.9022291421
821	0.2217603538	0.902191167
822	0.2217306247	0.9022291421
823	0.2217208056	0.9022899024
824	0.2216978433	0.9023050925
825	0.2216850107	0.9022974974
826	0.2216619509	0.9022215471
827	0.2216250407	0.9023810428
828	0.2215954569	0.9023962329
829	0.2215782116	0.9024038279
830	0.2215601346	0.9023962329
831	0.2215426722	0.9025329435
832	0.2215065334	0.9024949683
833	0.2214862013	0.9024949683
834	0.2214710129	0.9025101584
835	0.2214422944	0.9025177534
836	0.2214276431	0.9025329435
837	0.2214104925	0.9025481335
838	0.221380271	0.9024797782
839	0.2213524936	0.9025101584
840	0.2213162743	0.9024797782
841	0.221302606	0.9024569931
842	0.2212681875	0.9024418031
843	0.2212503666	0.9024114229
844	0.2212289639	0.9024721832
845	0.2212134983	0.9025177534
